Sp.Code,Avg.Abund,Trt,Year,Time
AH,1.466666667,Grazed,2008,1
AM,2.866666667,Grazed,2008,1
AS,0,Grazed,2008,1
CA,0,Grazed,2008,1
CaC,0,Grazed,2008,1
ClC,0,Grazed,2008,1
CM,15.2,Grazed,2008,1
CP,0,Grazed,2008,1
CS,2.066666667,Grazed,2008,1
ED,0,Grazed,2008,1
HF,0,Grazed,2008,1
LB,0,Grazed,2008,1
LC,0,Grazed,2008,1
LD,4.6,Grazed,2008,1
LS,0.133333333,Grazed,2008,1
MR,2.466666667,Grazed,2008,1
PC,0,Grazed,2008,1
PM,0,Grazed,2008,1
PS,0,Grazed,2008,1
QG,0,Grazed,2008,1
QP,0.066666667,Grazed,2008,1
UNK,0.066666667,Grazed,2008,1
UP,3.8,Grazed,2008,1
AH,15,Naiman,2008,1
AM,0,Naiman,2008,1
AS,0,Naiman,2008,1
CA,0,Naiman,2008,1
CaC,0,Naiman,2008,1
ClC,0,Naiman,2008,1
CM,35.66666667,Naiman,2008,1
CP,0,Naiman,2008,1
CS,0.083333333,Naiman,2008,1
ED,0,Naiman,2008,1
EE,2.833333333,Naiman,2008,1
HF,0.416666667,Naiman,2008,1
LB,0,Naiman,2008,1
LC,0,Naiman,2008,1
LD,21,Naiman,2008,1
LS,0,Naiman,2008,1
MR,6.416666667,Naiman,2008,1
PC,0,Naiman,2008,1
PM,0,Naiman,2008,1
PS,0,Naiman,2008,1
QG,0,Naiman,2008,1
QP,0,Naiman,2008,1
SM,4.833333333,Naiman,2008,1
UNK,0,Naiman,2008,1
UP,0,Naiman,2008,1
AH,0.133333333,Control,2008,1
AM,1.466666667,Control,2008,1
AS,0,Control,2008,1
CA,6.4,Control,2008,1
CaC,0,Control,2008,1
ClC,0,Control,2008,1
CM,0.533333333,Control,2008,1
CP,0,Control,2008,1
CS,1,Control,2008,1
ED,0.066666667,Control,2008,1
HF,0,Control,2008,1
LB,0,Control,2008,1
LC,0,Control,2008,1
LD,0.666666667,Control,2008,1
LS,9.8,Control,2008,1
MR,0,Control,2008,1
PC,4.6,Control,2008,1
PM,0,Control,2008,1
PS,0,Control,2008,1
QG,0,Control,2008,1
QP,0,Control,2008,1
UNK,0,Control,2008,1
UP,4.933333333,Control,2008,1
AH,0,Heavy,2008,1
AM,0,Heavy,2008,1
AS,0,Heavy,2008,1
CA,0,Heavy,2008,1
CaC,0,Heavy,2008,1
ClC,0,Heavy,2008,1
CM,0,Heavy,2008,1
CP,0,Heavy,2008,1
CS,8,Heavy,2008,1
ED,2.333333333,Heavy,2008,1
HF,0,Heavy,2008,1
LB,0,Heavy,2008,1
LC,0.333333333,Heavy,2008,1
LD,87.91666667,Heavy,2008,1
LS,8.083333333,Heavy,2008,1
MR,6.583333333,Heavy,2008,1
PC,0,Heavy,2008,1
PM,0,Heavy,2008,1
PS,2.666666667,Heavy,2008,1
QG,0.083333333,Heavy,2008,1
QP,0.583333333,Heavy,2008,1
UNK,0,Heavy,2008,1
UP,0.75,Heavy,2008,1
AH,0,DXG,2008,1
AL,1.166666667,DXG,2008,1
AM,0,DXG,2008,1
AS,0,DXG,2008,1
CA,0,DXG,2008,1
CaC,0,DXG,2008,1
ClC,0,DXG,2008,1
CM,0,DXG,2008,1
CP,0.333333333,DXG,2008,1
CC,17.33333333,DXG,2008,1
CS,33.66666667,DXG,2008,1
ED,0,DXG,2008,1
HF,0.166666667,DXG,2008,1
LB,20.66666667,DXG,2008,1
LC,37.5,DXG,2008,1
LD,11,DXG,2008,1
LS,0.666666667,DXG,2008,1
MR,0,DXG,2008,1
PC,0,DXG,2008,1
PM,5.166666667,DXG,2008,1
PS,0,DXG,2008,1
QG,0,DXG,2008,1
QP,0,DXG,2008,1
UNK,0,DXG,2008,1
UP,18.5,DXG,2008,1